id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,nchuble,VERB,VBD,they,The verb to nchuble means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,1
1,advocate,nchuble,VERB,VBD,they,The verb to nchuble means to push for something.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,0
2,large,orherpt,ADJ,JJ,it,The meaning of orherpt is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,1
3,small,orherpt,ADJ,JJ,it,The meaning of orherpt is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,0
4,receive,horybody,VERB,VBN,she,The verb to horybody means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,1
5,give,horybody,VERB,VBN,she,The verb to horybody means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,0
6,successful,hromassy,ADJ,JJ,he,The meaning of hromassy is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,1
7,available,hromassy,ADJ,JJ,he,The meaning of hromassy is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,0
8,repeat,mandedent,VERB,VB,he,"The verb to mandedent means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,0
9,answer,mandedent,VERB,VB,he,The verb to mandedent means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,1
10,fast,tedfibly,ADV,RB,it,The word tedfibly means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,0
11,slow,tedfibly,ADJ,JJ,it,The meaning of tedfibly is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,1
12,vindicate,parawardis,VERB,VBN,he,The verb to parawardis means to show to be right by providing justification or proof.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,parawardis,VERB,VBN,he,The verb to parawardis means to humiliate or depress completely.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,utabban,ADJ,JJ,he,The meaning of utabban is wanting in physical strength.,The man couldn't lift his son because _ was so utabban.,The man,The son,0
15,heavy,utabban,ADJ,JJ,he,The meaning of utabban is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so utabban.,The man,The son,1
16,steel,terbormia,NOUN,NN,it,The word terbormia refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of terbormia.,The table,The large ball,1
17,styrofoam,terbormia,NOUN,NN,it,The word terbormia refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of terbormia.,The table,The large ball,0
18,short,wandirely,ADJ,JJ,he,The meaning of wandirely is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,1
19,tall,wandirely,ADJ,JJ,he,The meaning of wandirely is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,0
