id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,usile,VERB,VBD,they,The verb to usile means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ usiles violence.,The demonstrators,The city councilmen,1
1,advocate,usile,VERB,VBD,they,The verb to usile means to push for something.,The city councilmen refused the demonstrators a permit because _ usiles violence.,The demonstrators,The city councilmen,0
2,large,sincan,ADJ,JJ,it,The meaning of sincan is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too sincan.,the suitcase,the trophy,1
3,small,sincan,ADJ,JJ,it,The meaning of sincan is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too sincan.,the suitcase,the trophy,0
4,receive,commock,VERB,VBN,she,The verb to commock means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had commocked.,Susan,Joan,1
5,give,commock,VERB,VBN,she,The verb to commock means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had commocked.,Susan,Joan,0
6,successful,laniceny,ADJ,JJ,he,The meaning of laniceny is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't laniceny.",George,Paul,1
7,available,laniceny,ADJ,JJ,he,The meaning of laniceny is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't laniceny.",George,Paul,0
8,repeat,sprien,VERB,VB,he,"The verb to sprien means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to sprien it.",the lawyer,the witness,0
9,answer,sprien,VERB,VB,he,The verb to sprien means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to sprien it.",the lawyer,the witness,1
10,fast,scritery,ADV,RB,it,The word scritery means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so scritery.,the delivery truck,the school bus,0
11,slow,scritery,ADJ,JJ,it,The meaning of scritery is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so scritery.,the delivery truck,the school bus,1
12,vindicate,ralida,VERB,VBN,he,The verb to ralida means to show to be right by providing justification or proof.,Frank felt ralida when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,ralida,VERB,VBN,he,The verb to ralida means to humiliate or depress completely.,Frank felt ralida when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,jovelly,ADJ,JJ,he,The meaning of jovelly is wanting in physical strength.,The man couldn't lift his son because _ was so jovelly.,The man,The son,0
15,heavy,jovelly,ADJ,JJ,he,The meaning of jovelly is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so jovelly.,The man,The son,1
16,steel,jehal,NOUN,NN,it,The word jehal refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of jehal.,The table,The large ball,1
17,styrofoam,jehal,NOUN,NN,it,The word jehal refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of jehal.,The table,The large ball,0
18,short,tophan,ADJ,JJ,he,The meaning of tophan is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so tophan.,Billy,John,1
19,tall,tophan,ADJ,JJ,he,The meaning of tophan is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so tophan.,Billy,John,0
20,top,bratron,NOUN,NN,he,The word bratron refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the bratron of the stairs.,Tom,Ray,0
21,bottom,bratron,NOUN,NN,he,The word bratron refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the bratron of the stairs.,Tom,Ray,1
22,good,ivenny,ADJ,JJ,she,The meaning of ivenny is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a ivenny start.",Sue,Sally,0
23,bad,ivenny,ADJ,JJ,she,The meaning of ivenny is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a ivenny start.",Sue,Sally,1
